stage,id,subject,topic,concept,answer,lengths,ratio,unique_longest,reasons,repeat_ids
before,Q044,L12,L12302,PoC / Pilot,D,12/6/13/21,2.032258064516129,True,length>=2x;unique-longest-correct;repeated-option-set,"Q043,Q044,Q045"
before,Q045,L12,L12302,PoC / Pilot,A,21/6/13/12,2.032258064516129,True,length>=2x;unique-longest-correct;repeated-option-set,"Q043,Q044,Q045"
before,Q046,L12,L12303,Prompt Injection,A,10/10/10/10,1.0,False,,Q046
before,Q047,L12,L12303,Prompt Injection,C,13/13/15/14,1.125,True,unique-longest-correct,Q047
before,Q048,L12,L12303,Prompt Injection,D,15/16/16/18,1.148936170212766,True,unique-longest-correct,Q048
before,Q049,L21,L21101,Tokenization / Embedding,D,3/13/7/12,1.5652173913043477,False,repeated-option-set,"Q049,Q050,Q051"
before,Q050,L21,L21101,Tokenization / Embedding,B,7/12/13/3,1.5652173913043477,False,repeated-option-set,"Q049,Q050,Q051"
before,Q051,L21,L21101,Tokenization / Embedding,A,12/3/13/7,1.5652173913043477,False,repeated-option-set,"Q049,Q050,Q051"
before,Q052,L21,L21102,Object Detection,B,14/15/17/19,0.8999999999999999,False,repeated-option-set,"Q052,Q053,Q054"
before,Q053,L21,L21102,Object Detection,A,15/19/17/14,0.8999999999999999,False,repeated-option-set,"Q052,Q053,Q054"
before,Q054,L21,L21102,Object Detection,C,17/19/15/14,0.8999999999999999,False,repeated-option-set,"Q052,Q053,Q054"
before,Q055,L21,L21103,RAG vs Fine-tuning,A,27/26/19/8,1.5283018867924527,True,unique-longest-correct;repeated-option-set,"Q055,Q056,Q057"
before,Q056,L21,L21103,RAG vs Fine-tuning,A,27/8/26/19,1.5283018867924527,True,unique-longest-correct;repeated-option-set,"Q055,Q056,Q057"
before,Q057,L21,L21103,RAG vs Fine-tuning,A,27/8/26/19,1.5283018867924527,True,unique-longest-correct;repeated-option-set,"Q055,Q056,Q057"
before,Q058,L21,L21104,多模態融合,C,14/10/21/8,1.96875,True,unique-longest-correct;repeated-option-set,"Q058,Q059,Q060"
before,Q059,L21,L21104,多模態融合,A,21/10/8/14,1.96875,True,unique-longest-correct;repeated-option-set,"Q058,Q059,Q060"
before,Q060,L21,L21104,多模態融合,D,10/8/14/21,1.96875,True,unique-longest-correct;repeated-option-set,"Q058,Q059,Q060"
before,Q061,L21,L21201,技術可行性評估,C,7/8/30/16,2.9032258064516125,True,length>=2x;unique-longest-correct;repeated-option-set,"Q061,Q062,Q063"
before,Q062,L21,L21201,技術可行性評估,B,7/30/8/16,2.9032258064516125,True,length>=2x;unique-longest-correct;repeated-option-set,"Q061,Q062,Q063"
before,Q063,L21,L21201,技術可行性評估,B,16/30/8/7,2.9032258064516125,True,length>=2x;unique-longest-correct;repeated-option-set,"Q061,Q062,Q063"
before,Q064,L21,L21202,AI 專案規劃,C,11/14/32/17,2.2857142857142856,True,length>=2x;unique-longest-correct;repeated-option-set,"Q064,Q065,Q066"
before,Q065,L21,L21202,AI 專案規劃,D,14/11/17/32,2.2857142857142856,True,length>=2x;unique-longest-correct;repeated-option-set,"Q064,Q065,Q066"
before,Q066,L21,L21202,AI 專案規劃,C,14/11/32/17,2.2857142857142856,True,length>=2x;unique-longest-correct;repeated-option-set,"Q064,Q065,Q066"
before,Q067,L21,L21203,AI 風險管理,C,10/7/27/14,2.6129032258064515,True,length>=2x;unique-longest-correct;repeated-option-set,"Q067,Q068,Q069"
before,Q068,L21,L21203,AI 風險管理,D,14/7/10/27,2.6129032258064515,True,length>=2x;unique-longest-correct;repeated-option-set,"Q067,Q068,Q069"
before,Q069,L21,L21203,AI 風險管理,D,10/14/7/27,2.6129032258064515,True,length>=2x;unique-longest-correct;repeated-option-set,"Q067,Q068,Q069"
before,Q070,L21,L21301,數據準備與模型選擇,C,10/8/31/15,2.8181818181818183,True,length>=2x;unique-longest-correct;repeated-option-set,"Q070,Q071,Q072"
before,Q071,L21,L21301,數據準備與模型選擇,C,15/10/31/8,2.8181818181818183,True,length>=2x;unique-longest-correct;repeated-option-set,"Q070,Q071,Q072"
before,Q072,L21,L21301,數據準備與模型選擇,C,8/10/31/15,2.8181818181818183,True,length>=2x;unique-longest-correct;repeated-option-set,"Q070,Q071,Q072"
before,Q073,L21,L21302,部署與系統集成,A,28/21/6/10,2.27027027027027,True,length>=2x;unique-longest-correct;repeated-option-set,"Q073,Q074,Q075"
before,Q074,L21,L21302,部署與系統集成,A,28/21/10/6,2.27027027027027,True,length>=2x;unique-longest-correct;repeated-option-set,"Q073,Q074,Q075"
before,Q075,L21,L21302,部署與系統集成,A,28/10/21/6,2.27027027027027,True,length>=2x;unique-longest-correct;repeated-option-set,"Q073,Q074,Q075"
before,Q076,L22,L22101,平均數與中位數,B,13/11/9/9,1.064516129032258,False,repeated-option-set,"Q076,Q077,Q078"
before,Q077,L22,L22101,平均數與中位數,D,9/13/9/11,1.064516129032258,False,repeated-option-set,"Q076,Q077,Q078"
before,Q078,L22,L22101,平均數與中位數,C,9/13/11/9,1.064516129032258,False,repeated-option-set,"Q076,Q077,Q078"
before,Q079,L22,L22102,常態分布,B,10/18/9/11,1.8,True,unique-longest-correct;repeated-option-set,"Q079,Q080,Q081"
before,Q080,L22,L22102,常態分布,B,10/18/9/11,1.8,True,unique-longest-correct;repeated-option-set,"Q079,Q080,Q081"
before,Q081,L22,L22102,常態分布,C,11/9/18/10,1.8,True,unique-longest-correct;repeated-option-set,"Q079,Q080,Q081"
before,Q082,L22,L22103,p-value,D,10/8/20/17,1.3421052631578947,False,repeated-option-set,"Q082,Q083,Q084"
before,Q083,L22,L22103,p-value,D,20/10/8/17,1.3421052631578947,False,repeated-option-set,"Q082,Q083,Q084"
before,Q084,L22,L22103,p-value,A,17/10/20/8,1.3421052631578947,False,repeated-option-set,"Q082,Q083,Q084"
before,Q085,L22,L22201,缺失值與異常值,B,20/20/19/19,1.0344827586206897,False,,Q085
before,Q086,L22,L22201,缺失值與異常值,B,18/18/18/18,1.0,False,,Q086
before,Q087,L22,L22201,缺失值與異常值,B,17/18/17/18,1.0384615384615385,False,,Q087
before,Q088,L22,L22202,資料湖與資料倉儲,D,9/10/15/23,2.0294117647058822,True,length>=2x;unique-longest-correct;repeated-option-set,"Q088,Q089,Q090"
before,Q089,L22,L22202,資料湖與資料倉儲,C,15/9/23/10,2.0294117647058822,True,length>=2x;unique-longest-correct;repeated-option-set,"Q088,Q089,Q090"
before,Q090,L22,L22202,資料湖與資料倉儲,D,10/9/15/23,2.0294117647058822,True,length>=2x;unique-longest-correct;repeated-option-set,"Q088,Q089,Q090"
before,Q091,L22,L22203,批次與串流處理,A,23/11/7/8,2.653846153846154,True,length>=2x;unique-longest-correct;repeated-option-set,"Q091,Q092,Q093"
before,Q092,L22,L22203,批次與串流處理,A,23/8/11/7,2.653846153846154,True,length>=2x;unique-longest-correct;repeated-option-set,"Q091,Q092,Q093"
before,Q093,L22,L22203,批次與串流處理,D,8/11/7/23,2.653846153846154,True,length>=2x;unique-longest-correct;repeated-option-set,"Q091,Q092,Q093"
before,Q094,L22,L22301,相關與因果,A,20/13/12/14,1.5384615384615385,True,unique-longest-correct;repeated-option-set,"Q094,Q095,Q096"
before,Q095,L22,L22301,相關與因果,B,12/20/14/13,1.5384615384615385,True,unique-longest-correct;repeated-option-set,"Q094,Q095,Q096"
before,Q096,L22,L22301,相關與因果,D,13/12/14/20,1.5384615384615385,True,unique-longest-correct;repeated-option-set,"Q094,Q095,Q096"
before,Q097,L22,L22302,分群分析,B,6/14/4/5,2.8,True,length>=2x;unique-longest-correct;repeated-option-set,"Q097,Q098,Q099"
before,Q098,L22,L22302,分群分析,A,14/6/4/5,2.8,True,length>=2x;unique-longest-correct;repeated-option-set,"Q097,Q098,Q099"
before,Q099,L22,L22302,分群分析,D,6/5/4/14,2.8,True,length>=2x;unique-longest-correct;repeated-option-set,"Q097,Q098,Q099"
before,Q100,L22,L22303,視覺化選擇,C,10/7/18/12,1.8620689655172415,True,unique-longest-correct;repeated-option-set,"Q100,Q101,Q102"
before,Q101,L22,L22303,視覺化選擇,A,18/12/10/7,1.8620689655172415,True,unique-longest-correct;repeated-option-set,"Q100,Q101,Q102"
before,Q102,L22,L22303,視覺化選擇,B,10/18/12/7,1.8620689655172415,True,unique-longest-correct;repeated-option-set,"Q100,Q101,Q102"
before,Q103,L22,L22401,大數據與模型訓練,D,14/13/11/29,2.2894736842105265,True,length>=2x;unique-longest-correct;repeated-option-set,"Q103,Q104,Q105"
before,Q104,L22,L22401,大數據與模型訓練,A,29/14/11/13,2.2894736842105265,True,length>=2x;unique-longest-correct;repeated-option-set,"Q103,Q104,Q105"
before,Q105,L22,L22401,大數據與模型訓練,A,29/13/14/11,2.2894736842105265,True,length>=2x;unique-longest-correct;repeated-option-set,"Q103,Q104,Q105"
before,Q106,L22,L22402,鑑別式 AI 與大數據,B,6/19/9/9,2.375,True,length>=2x;unique-longest-correct;repeated-option-set,"Q106,Q107,Q108"
before,Q107,L22,L22402,鑑別式 AI 與大數據,B,9/19/6/9,2.375,True,length>=2x;unique-longest-correct;repeated-option-set,"Q106,Q107,Q108"
before,Q108,L22,L22402,鑑別式 AI 與大數據,D,9/9/6/19,2.375,True,length>=2x;unique-longest-correct;repeated-option-set,"Q106,Q107,Q108"
before,Q109,L22,L22403,生成式 AI 資料,D,12/13/13/22,1.736842105263158,True,unique-longest-correct;repeated-option-set,"Q109,Q110,Q111"
before,Q110,L22,L22403,生成式 AI 資料,D,12/13/13/22,1.736842105263158,True,unique-longest-correct;repeated-option-set,"Q109,Q110,Q111"
before,Q111,L22,L22403,生成式 AI 資料,B,13/22/13/12,1.736842105263158,True,unique-longest-correct;repeated-option-set,"Q109,Q110,Q111"
before,Q112,L22,L22404,匿名化與再識別,B,17/17/17/17,1.0,False,,Q112
before,Q113,L22,L22404,匿名化與再識別,D,17/17/17/17,1.0,False,,Q113
before,Q114,L22,L22404,匿名化與再識別,B,20/21/20/20,1.05,True,unique-longest-correct,Q114
before,Q115,L23,L23101,Bayes 定理,C,4/10/7/4,1.1666666666666667,False,repeated-option-set,"Q115,Q116,Q117"
before,Q116,L23,L23101,Bayes 定理,A,7/10/4/4,1.1666666666666667,False,repeated-option-set,"Q115,Q116,Q117"
before,Q117,L23,L23101,Bayes 定理,A,7/4/10/4,1.1666666666666667,False,repeated-option-set,"Q115,Q116,Q117"
before,Q118,L23,L23102,矩陣與向量,D,6/6/5/7,1.2352941176470587,True,unique-longest-correct;repeated-option-set,"Q118,Q119,Q120"
before,Q119,L23,L23102,矩陣與向量,D,6/6/5/7,1.2352941176470587,True,unique-longest-correct;repeated-option-set,"Q118,Q119,Q120"
before,Q120,L23,L23102,矩陣與向量,A,7/5/6/6,1.2352941176470587,True,unique-longest-correct;repeated-option-set,"Q118,Q119,Q120"
before,Q121,L23,L23103,梯度下降,D,7/13/15/21,1.8,True,unique-longest-correct;repeated-option-set,"Q121,Q122,Q123"
before,Q122,L23,L23103,梯度下降,C,15/13/21/7,1.8,True,unique-longest-correct;repeated-option-set,"Q121,Q122,Q123"
before,Q123,L23,L23103,梯度下降,C,7/15/21/13,1.8,True,unique-longest-correct;repeated-option-set,"Q121,Q122,Q123"
before,Q124,L23,L23201,Bias-Variance,D,11/18/8/19,1.5405405405405406,True,unique-longest-correct;repeated-option-set,"Q124,Q125,Q126"
before,Q125,L23,L23201,Bias-Variance,C,18/8/19/11,1.5405405405405406,True,unique-longest-correct;repeated-option-set,"Q124,Q125,Q126"
before,Q126,L23,L23201,Bias-Variance,C,18/11/19/8,1.5405405405405406,True,unique-longest-correct;repeated-option-set,"Q124,Q125,Q126"
before,Q127,L23,L23202,Random Forest,C,21/21/21/22,0.984375,False,,Q127
before,Q128,L23,L23202,Random Forest,B,21/22/21/21,1.0476190476190477,True,unique-longest-correct,Q128
before,Q129,L23,L23202,Random Forest,B,22/23/22/23,1.0298507462686568,False,,Q129
before,Q130,L23,L23203,CNN,B,8/18/9/11,1.9285714285714284,True,unique-longest-correct;repeated-option-set,"Q130,Q131,Q132"
before,Q131,L23,L23203,CNN,D,9/11/8/18,1.9285714285714284,True,unique-longest-correct;repeated-option-set,"Q130,Q131,Q132"
before,Q132,L23,L23203,CNN,D,11/9/8/18,1.9285714285714284,True,unique-longest-correct;repeated-option-set,"Q130,Q131,Q132"
before,Q133,L23,L23301,特徵工程,A,15/15/15/14,1.0227272727272727,False,,Q133
before,Q134,L23,L23301,特徵工程,A,14/15/14/14,0.9767441860465116,False,,Q134
before,Q135,L23,L23301,特徵工程,A,18/19/19/20,0.9310344827586208,False,,Q135
before,Q136,L23,L23302,模型架構選擇,B,22/20/11/8,1.4634146341463414,False,repeated-option-set,"Q136,Q137,Q138"
before,Q137,L23,L23302,模型架構選擇,B,22/20/11/8,1.4634146341463414,False,repeated-option-set,"Q136,Q137,Q138"
before,Q138,L23,L23302,模型架構選擇,B,8/20/11/22,1.4634146341463414,False,repeated-option-set,"Q136,Q137,Q138"
before,Q139,L23,L23303,交叉驗證,A,20/19/19/20,1.0344827586206897,False,,Q139
before,Q140,L23,L23303,交叉驗證,C,13/13/13/14,0.975,False,,Q140
before,Q141,L23,L23303,交叉驗證,C,21/21/22/22,1.03125,False,,Q141
before,Q142,L23,L23304,Hyperparameter Tuning,A,12/11/12/11,1.0588235294117647,False,,Q142
before,Q143,L23,L23304,Hyperparameter Tuning,A,18/19/18/19,0.9642857142857142,False,,Q143
before,Q144,L23,L23304,Hyperparameter Tuning,D,17/17/18/19,1.0961538461538463,True,unique-longest-correct,Q144
before,Q145,L23,L23401,差分隱私,D,13/4/10/25,2.7777777777777777,True,length>=2x;unique-longest-correct;repeated-option-set,"Q145,Q146,Q147"
before,Q146,L23,L23401,差分隱私,B,10/25/13/4,2.7777777777777777,True,length>=2x;unique-longest-correct;repeated-option-set,"Q145,Q146,Q147"
before,Q147,L23,L23401,差分隱私,D,10/13/4/25,2.7777777777777777,True,length>=2x;unique-longest-correct;repeated-option-set,"Q145,Q146,Q147"
before,Q148,L23,L23402,公平性,C,6/12/27/16,2.3823529411764706,True,length>=2x;unique-longest-correct;repeated-option-set,"Q148,Q149,Q150"
before,Q149,L23,L23402,公平性,B,16/27/12/6,2.3823529411764706,True,length>=2x;unique-longest-correct;repeated-option-set,"Q148,Q149,Q150"
before,Q150,L23,L23402,公平性,C,16/12/27/6,2.3823529411764706,True,length>=2x;unique-longest-correct;repeated-option-set,"Q148,Q149,Q150"
before,Q151,L11,L11302,Precision / Recall,B,14/11/3/2,1.736842105263158,False,repeated-option-set,"Q151,Q152,Q153"
before,Q152,L11,L11302,Precision / Recall,D,3/14/2/11,1.736842105263158,False,repeated-option-set,"Q151,Q152,Q153"
before,Q153,L11,L11302,Precision / Recall,A,11/3/2/14,1.736842105263158,False,repeated-option-set,"Q151,Q152,Q153"
before,Q154,L12,L12202,RAG 與向量檢索,C,16/15/16/15,1.0434782608695652,False,,Q154
before,Q155,L12,L12202,RAG 與向量檢索,B,20/20/20/20,1.0,False,,Q155
before,Q156,L12,L12202,RAG 與向量檢索,A,18/18/18/19,0.9818181818181819,False,,Q156
before,Q157,L12,L12202,Function Calling,B,10/20/14/16,1.5,True,unique-longest-correct;repeated-option-set,"Q157,Q158,Q159"
before,Q158,L12,L12202,Function Calling,B,14/20/10/16,1.5,True,unique-longest-correct;repeated-option-set,"Q157,Q158,Q159"
before,Q159,L12,L12202,Function Calling,A,20/16/14/10,1.5,True,unique-longest-correct;repeated-option-set,"Q157,Q158,Q159"
before,Q160,L21,L21103,Attention,A,9/7/7/12,1.0384615384615385,False,repeated-option-set,"Q160,Q161,Q162"
before,Q161,L21,L21103,Attention,C,7/7/9/12,1.0384615384615385,False,repeated-option-set,"Q160,Q161,Q162"
before,Q162,L21,L21103,Attention,C,12/7/9/7,1.0384615384615385,False,repeated-option-set,"Q160,Q161,Q162"
before,Q163,L22,L22101,標準差,B,9/12/12/12,1.0909090909090908,False,,Q163
before,Q164,L22,L22101,標準差,C,5/5/5/5,1.0,False,,Q164
before,Q165,L22,L22101,標準差,D,6/7/7/7,1.05,False,,Q165
before,Q166,L22,L22203,MapReduce,B,15/29/18/18,1.7058823529411764,True,unique-longest-correct;repeated-option-set,"Q166,Q167,Q168"
before,Q167,L22,L22203,MapReduce,B,18/29/15/18,1.7058823529411764,True,unique-longest-correct;repeated-option-set,"Q166,Q167,Q168"
before,Q168,L22,L22203,MapReduce,A,29/18/15/18,1.7058823529411764,True,unique-longest-correct;repeated-option-set,"Q166,Q167,Q168"
before,Q169,L23,L23303,分類評估,A,16/16/16/16,1.0,False,,Q169
before,Q170,L23,L23303,分類評估,B,18/20/19/20,1.0526315789473684,False,,Q170
before,Q171,L23,L23303,分類評估,C,16/14/20/19,1.2244897959183674,True,unique-longest-correct,Q171
before,Q172,L11,L11201,大數據 4V,A,32/22/15/16,1.811320754716981,True,unique-longest-correct;repeated-option-set,"Q172,Q173,Q174,Q175,Q176,Q177"
before,Q173,L11,L11201,大數據 4V,B,15/32/22/16,1.811320754716981,True,unique-longest-correct;repeated-option-set,"Q172,Q173,Q174,Q175,Q176,Q177"
before,Q174,L11,L11201,大數據 4V,D,22/15/16/32,1.811320754716981,True,unique-longest-correct;repeated-option-set,"Q172,Q173,Q174,Q175,Q176,Q177"
before,Q175,L11,L11201,大數據 4V,D,15/16/22/32,1.811320754716981,True,unique-longest-correct;repeated-option-set,"Q172,Q173,Q174,Q175,Q176,Q177"
before,Q176,L11,L11201,大數據 4V,C,22/16/32/15,1.811320754716981,True,unique-longest-correct;repeated-option-set,"Q172,Q173,Q174,Q175,Q176,Q177"
before,Q177,L11,L11201,大數據 4V,D,16/22/15/32,1.811320754716981,True,unique-longest-correct;repeated-option-set,"Q172,Q173,Q174,Q175,Q176,Q177"
before,Q178,L11,L11202,Train/Validation/Test,B,17/33/14/16,2.1063829787234045,True,length>=2x;unique-longest-correct;repeated-option-set,"Q178,Q179,Q180,Q181,Q182,Q183"
before,Q179,L11,L11202,Train/Validation/Test,A,33/16/17/14,2.1063829787234045,True,length>=2x;unique-longest-correct;repeated-option-set,"Q178,Q179,Q180,Q181,Q182,Q183"
before,Q180,L11,L11202,Train/Validation/Test,C,14/17/33/16,2.1063829787234045,True,length>=2x;unique-longest-correct;repeated-option-set,"Q178,Q179,Q180,Q181,Q182,Q183"
before,Q181,L11,L11202,Train/Validation/Test,C,14/17/33/16,2.1063829787234045,True,length>=2x;unique-longest-correct;repeated-option-set,"Q178,Q179,Q180,Q181,Q182,Q183"
before,Q182,L11,L11202,Train/Validation/Test,A,33/14/16/17,2.1063829787234045,True,length>=2x;unique-longest-correct;repeated-option-set,"Q178,Q179,Q180,Q181,Q182,Q183"
before,Q183,L11,L11202,Train/Validation/Test,B,17/33/16/14,2.1063829787234045,True,length>=2x;unique-longest-correct;repeated-option-set,"Q178,Q179,Q180,Q181,Q182,Q183"
before,Q184,L11,L11202,缺失值處理,D,14/9/15/29,2.2894736842105265,True,length>=2x;unique-longest-correct;repeated-option-set,"Q184,Q185,Q186,Q187,Q188,Q189"
before,Q185,L11,L11202,缺失值處理,D,9/14/15/29,2.2894736842105265,True,length>=2x;unique-longest-correct;repeated-option-set,"Q184,Q185,Q186,Q187,Q188,Q189"
before,Q186,L11,L11202,缺失值處理,A,29/15/9/14,2.2894736842105265,True,length>=2x;unique-longest-correct;repeated-option-set,"Q184,Q185,Q186,Q187,Q188,Q189"
before,Q187,L11,L11202,缺失值處理,C,14/9/29/15,2.2894736842105265,True,length>=2x;unique-longest-correct;repeated-option-set,"Q184,Q185,Q186,Q187,Q188,Q189"
before,Q188,L11,L11202,缺失值處理,B,9/29/14/15,2.2894736842105265,True,length>=2x;unique-longest-correct;repeated-option-set,"Q184,Q185,Q186,Q187,Q188,Q189"
before,Q189,L11,L11202,缺失值處理,B,9/29/15/14,2.2894736842105265,True,length>=2x;unique-longest-correct;repeated-option-set,"Q184,Q185,Q186,Q187,Q188,Q189"
before,Q190,L11,L11302,分類與迴歸,D,17/10/19/23,1.5,True,unique-longest-correct;repeated-option-set,"Q190,Q191,Q192,Q193,Q194,Q195"
before,Q191,L11,L11302,分類與迴歸,D,19/17/10/23,1.5,True,unique-longest-correct;repeated-option-set,"Q190,Q191,Q192,Q193,Q194,Q195"
before,Q192,L11,L11302,分類與迴歸,D,19/17/10/23,1.5,True,unique-longest-correct;repeated-option-set,"Q190,Q191,Q192,Q193,Q194,Q195"
before,Q193,L11,L11302,分類與迴歸,B,10/23/19/17,1.5,True,unique-longest-correct;repeated-option-set,"Q190,Q191,Q192,Q193,Q194,Q195"
before,Q194,L11,L11302,分類與迴歸,C,19/10/23/17,1.5,True,unique-longest-correct;repeated-option-set,"Q190,Q191,Q192,Q193,Q194,Q195"
before,Q195,L11,L11302,分類與迴歸,B,10/23/19/17,1.5,True,unique-longest-correct;repeated-option-set,"Q190,Q191,Q192,Q193,Q194,Q195"
before,Q196,L11,L11302,Precision 與 Recall 取捨,B,21/40/15/21,2.1052631578947367,True,length>=2x;unique-longest-correct;repeated-option-set,"Q196,Q197,Q198,Q199,Q200,Q201"
before,Q197,L11,L11302,Precision 與 Recall 取捨,B,21/40/21/15,2.1052631578947367,True,length>=2x;unique-longest-correct;repeated-option-set,"Q196,Q197,Q198,Q199,Q200,Q201"
before,Q198,L11,L11302,Precision 與 Recall 取捨,C,21/15/40/21,2.1052631578947367,True,length>=2x;unique-longest-correct;repeated-option-set,"Q196,Q197,Q198,Q199,Q200,Q201"
