paper,route,app_question_id,official_question_number,field,official_answer,removed_fragments,replacement_fragments,result
115-2-L12,pdf,PAST-115-2-L12-23,23,question,C,"[""】  第二科:生成式 AI 應用與規劃  考試日期: 115 年 0 5 月 16 日  第 7 頁,共 13 頁""]",[],layout text removed; answer unchanged and matches PDF
115-2-L12,pdf,PAST-115-2-L12-27,27,D,B,"["" 】 第二科:生成式 AI 應用與規劃 考試日期: 115 年 0 5 月 16 日 第 8 頁,共 13 頁""]",[],layout text removed; answer unchanged and matches PDF
115-2-L12,pdf,PAST-115-2-L12-31,31,D,A,"["" 】 第二科:生成式 AI 應用與規劃 考試日期: 115 年 0 5 月 16 日 第 9 頁,共 13 頁""]",[],layout text removed; answer unchanged and matches PDF
115-2-L12,pdf,PAST-115-2-L12-35,35,A,A,"[""】 第二科:生成式 AI 應用與規劃 考試日期: 115 年 0 5 月 16 日 第 10 頁,共 13 頁 ""]",[],layout text removed; answer unchanged and matches PDF
115-2-L12,pdf,PAST-115-2-L12-39,39,question,B,"[""  】  第二科:生成式 AI 應用與規劃  考試日期: 115 年 0 5 月 16 日  第 11 頁,共 13 頁""]",[],layout text removed; answer unchanged and matches PDF
115-2-L12,pdf,PAST-115-2-L12-42,42,B,D,"["" 】 第二科:生成式 AI 應用與規劃 考試日期: 115 年 0 5 月 16 日 第 12 頁,共 13 頁""]",[],layout text removed; answer unchanged and matches PDF
115-2-L12,pdf,PAST-115-2-L12-47,47,question,C,"[""】  第二科:生成式 AI 應用與規劃  考試日期: 115 年 0 5 月 16 日  第 13 頁,共 13 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L11,pdf,PAST-115-1-L11-5,5,D,B,"[""】 第一科:人工智慧基礎概論 考試日期: 115 年 03 月 21 日 第 2 頁,共 12 頁 ""]",[],layout text removed; answer unchanged and matches PDF
115-1-L11,pdf,PAST-115-1-L11-9,9,D,A,"["" 】 第一科:人工智慧基礎概論 考試日期: 115 年 03 月 21 日 第 3 頁,共 12 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L11,pdf,PAST-115-1-L11-14,14,D,B,"["" 】 第一科:人工智慧基礎概論 考試日期: 115 年 03 月 21 日 第 4 頁,共 12 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L11,pdf,PAST-115-1-L11-20,20,question,B,"[""】  第一科:人工智慧基礎概論  考試日期: 115 年 03 月 21 日  第 5 頁,共 12 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L11,pdf,PAST-115-1-L11-23,23,D,B,"["" 】 第一科:人工智慧基礎概論 考試日期: 115 年 03 月 21 日 第 6 頁,共 12 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L11,pdf,PAST-115-1-L11-28,28,question,C,"[""】  第一科:人工智慧基礎概論  考試日期: 115 年 03 月 21 日  第 7 頁,共 12 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L11,pdf,PAST-115-1-L11-33,33,question,D,"[""】  第一科:人工智慧基礎概論  考試日期: 115 年 03 月 21 日  第 8 頁,共 12 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L11,pdf,PAST-115-1-L11-37,37,question,B,"[""】  第一科:人工智慧基礎概論  考試日期: 115 年 03 月 21 日  第 9 頁,共 12 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L11,pdf,PAST-115-1-L11-40,40,D,A,"["" 】 第一科:人工智慧基礎概論 考試日期: 115 年 03 月 21 日 第 10 頁,共 12 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L11,pdf,PAST-115-1-L11-43,43,D,D,"["" 】 第一科:人工智慧基礎概論 考試日期: 115 年 03 月 21 日 第 11 頁,共 12 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L11,pdf,PAST-115-1-L11-48,48,A,C,"["" 】 第一科:人工智慧基礎概論 考試日期: 115 年 03 月 21 日 第 12 頁,共 12 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L12,pdf,PAST-115-1-L12-5,5,question,C,"[""  】  第二 科 : 生成式 AI 應用與規劃  考試日期: 115 年 03 月 21 日  第 2 頁,共 11 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L12,pdf,PAST-115-1-L12-9,9,D,B,"["" 】 第二 科 : 生成式 AI 應用與規劃 考試日期: 115 年 03 月 21 日 第 3 頁,共 11 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L12,pdf,PAST-115-1-L12-14,14,question,A,"[""  】  第二 科 : 生成式 AI 應用與規劃  考試日期: 115 年 03 月 21 日  第 4 頁,共 11 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L12,pdf,PAST-115-1-L12-18,18,D,A,"["" 】 第二 科 : 生成式 AI 應用與規劃 考試日期: 115 年 03 月 21 日 第 5 頁,共 11 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L12,pdf,PAST-115-1-L12-24,24,question,D,"[""  】  第二 科 : 生成式 AI 應用與規劃  考試日期: 115 年 03 月 21 日  第 6 頁,共 11 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L12,pdf,PAST-115-1-L12-28,28,D,C,"["" 】 第二 科 : 生成式 AI 應用與規劃 考試日期: 115 年 03 月 21 日 第 7 頁,共 11 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L12,pdf,PAST-115-1-L12-33,33,question,A,"[""】  第二 科 : 生成式 AI 應用與規劃  考試日期: 115 年 03 月 21 日  第 8 頁,共 11 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L12,pdf,PAST-115-1-L12-37,37,A,C,"["" 】 第二 科 : 生成式 AI 應用與規劃 考試日期: 115 年 03 月 21 日 第 9 頁,共 11 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L12,pdf,PAST-115-1-L12-42,42,question,B,"[""】  第二 科 : 生成式 AI 應用與規劃  考試日期: 115 年 03 月 21 日  第 10 頁,共 11 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L12,pdf,PAST-115-1-L12-46,46,question,C,"[""】  第二 科 : 生成式 AI 應用與規劃  考試日期: 115 年 03 月 21 日  第 11 頁,共 11 頁""]",[],layout text removed; answer unchanged and matches PDF
114-4-L11,pdf,PAST-114-4-L11-6,6,C,C,"["" 114 年第四次 第一 科 : 人工智慧基礎概論 考試日期: 1 14 年 1 1 月 01 日 試 題公告 日期: 1 14 年 1 1 月 2 0 日 第 2 頁,共 13 頁 答案 題 目""]",[],layout text removed; answer unchanged and matches PDF
114-4-L11,pdf,PAST-114-4-L11-11,11,D,B,"["" 114 年第四次 第一 科 : 人工智慧基礎概論 考試日期: 1 14 年 1 1 月 01 日 試 題公告 日期: 1 14 年 1 1 月 2 0 日 第 3 頁,共 13 頁 答案 題 目""]",[],layout text removed; answer unchanged and matches PDF
114-4-L11,pdf,PAST-114-4-L11-15,15,B,A,"["" 114 年第四次 第一 科 : 人工智慧基礎概論 考試日期: 1 14 年 1 1 月 01 日 試 題公告 日期: 1 14 年 1 1 月 2 0 日 第 4 頁,共 13 頁 答案 題 目""]",[],layout text removed; answer unchanged and matches PDF
114-4-L11,pdf,PAST-114-4-L11-20,20,question,A,"[""114 年第四次"", ""第一 科 : 人工智慧基礎概論  考試日期: 1 14 年 1 1 月 01 日 試 題公告 日期: 1 14 年 1 1 月 2 0 日  第 5 頁,共 13 頁  答案 題 目""]",[],layout text removed; answer unchanged and matches PDF
114-4-L11,pdf,PAST-114-4-L11-25,25,question,C,"[""114 年第四次"", ""第一 科 : 人工智慧基礎概論  考試日期: 1 14 年 1 1 月 01 日 試 題公告 日期: 1 14 年 1 1 月 2 0 日  第 6 頁,共 13 頁  答案 題 目""]",[],layout text removed; answer unchanged and matches PDF
114-4-L11,pdf,PAST-114-4-L11-28,28,D,D,"["" 114 年第四次 第一 科 : 人工智慧基礎概論 考試日期: 1 14 年 1 1 月 01 日 試 題公告 日期: 1 14 年 1 1 月 2 0 日 第 7 頁,共 13 頁 答案 題 目""]",[],layout text removed; answer unchanged and matches PDF
114-4-L11,pdf,PAST-114-4-L11-32,32,D,B,"["" 114 年第四次 第一 科 : 人工智慧基礎概論 考試日期: 1 14 年 1 1 月 01 日 試 題公告 日期: 1 14 年 1 1 月 2 0 日 第 8 頁,共 13 頁 答案 題 目""]",[],layout text removed; answer unchanged and matches PDF
114-4-L11,pdf,PAST-114-4-L11-35,35,C,D,"["" 114 年第四次 第一 科 : 人工智慧基礎概論 考試日期: 1 14 年 1 1 月 01 日 試 題公告 日期: 1 14 年 1 1 月 2 0 日 第 9 頁,共 13 頁 答案 題 目""]",[],layout text removed; answer unchanged and matches PDF
114-4-L11,pdf,PAST-114-4-L11-39,39,question,A,"["" 114 年第四次   第一 科 : 人工智慧基礎概論  考試日期: 1 14 年 1 1 月 01 日 試 題公告 日期: 1 14 年 1 1 月 2 0 日  第 10 頁,共 13 頁  答案 題 目""]",[],layout text removed; answer unchanged and matches PDF
114-4-L11,pdf,PAST-114-4-L11-42,42,question,C,"[""114 年第四次"", ""第一 科 : 人工智慧基礎概論  考試日期: 1 14 年 1 1 月 01 日 試 題公告 日期: 1 14 年 1 1 月 2 0 日  第 11 頁,共 13 頁  答案 題 目""]",[],layout text removed; answer unchanged and matches PDF
114-4-L11,pdf,PAST-114-4-L11-45,45,C,C,"["" 114 年第四次 第一 科 : 人工智慧基礎概論 考試日期: 1 14 年 1 1 月 01 日 試 題公告 日期: 1 14 年 1 1 月 2 0 日 第 12 頁,共 13 頁 答案 題 目""]",[],layout text removed; answer unchanged and matches PDF
114-4-L11,pdf,PAST-114-4-L11-50,50,question,A,"[""114 年第四次"", ""第一 科 : 人工智慧基礎概論  考試日期: 1 14 年 1 1 月 01 日 試 題公告 日期: 1 14 年 1 1 月 2 0 日  第 13 頁,共 13 頁  答案 題 目""]",[],layout text removed; answer unchanged and matches PDF
114-4-L12,pdf,PAST-114-4-L12-5,5,question,D,"[""114 年第四次"", ""第二 科 : 生成式 AI 應用與規劃  考試日期: 114 年 1 1 月 01 日 試題公告日期: 114 年 1 1 月 2 0 日  第 2 頁,共 13 頁  答案 題 目""]",[],layout text removed; answer unchanged and matches PDF
114-4-L12,pdf,PAST-114-4-L12-8,8,B,C,"["" 114 年第四次 第二 科 : 生成式 AI 應用與規劃 考試日期: 114 年 1 1 月 01 日 試題公告日期: 114 年 1 1 月 2 0 日 第 3 頁,共 13 頁 答案 題 目""]",[],layout text removed; answer unchanged and matches PDF
114-4-L12,pdf,PAST-114-4-L12-13,13,A,D,"["" 114 年第四次 第二 科 : 生成式 AI 應用與規劃 考試日期: 114 年 1 1 月 01 日 試題公告日期: 114 年 1 1 月 2 0 日 第 4 頁,共 13 頁 答案 題 目""]",[],layout text removed; answer unchanged and matches PDF
114-4-L12,pdf,PAST-114-4-L12-17,17,A,D,"["" 114 年第四次 第二 科 : 生成式 AI 應用與規劃 考試日期: 114 年 1 1 月 01 日 試題公告日期: 114 年 1 1 月 2 0 日 第 5 頁,共 13 頁 答案 題 目""]",[],layout text removed; answer unchanged and matches PDF
114-4-L12,pdf,PAST-114-4-L12-20,20,D,D,"["" 114 年第四次 第二 科 : 生成式 AI 應用與規劃 考試日期: 114 年 1 1 月 01 日 試題公告日期: 114 年 1 1 月 2 0 日 第 6 頁,共 13 頁 答案 題 目""]",[],layout text removed; answer unchanged and matches PDF
114-4-L12,pdf,PAST-114-4-L12-24,24,question,D,"[""114 年第四次"", ""第二 科 : 生成式 AI 應用與規劃  考試日期: 114 年 1 1 月 01 日 試題公告日期: 114 年 1 1 月 2 0 日  第 7 頁,共 13 頁  答案 題 目""]",[],layout text removed; answer unchanged and matches PDF
114-4-L12,pdf,PAST-114-4-L12-28,28,A,B,"["" 114 年第四次 第二 科 : 生成式 AI 應用與規劃 考試日期: 114 年 1 1 月 01 日 試題公告日期: 114 年 1 1 月 2 0 日 第 8 頁,共 13 頁 答案 題 目""]",[],layout text removed; answer unchanged and matches PDF
114-4-L12,pdf,PAST-114-4-L12-31,31,B,B,"["" 114 年第四次 第二 科 : 生成式 AI 應用與規劃 考試日期: 114 年 1 1 月 01 日 試題公告日期: 114 年 1 1 月 2 0 日 第 9 頁,共 13 頁 答案 題 目""]",[],layout text removed; answer unchanged and matches PDF
114-4-L12,pdf,PAST-114-4-L12-35,35,question,B,"["" 114 年第四次   第二 科 : 生成式 AI 應用與規劃  考試日期: 114 年 1 1 月 01 日 試題公告日期: 114 年 1 1 月 2 0 日  第 10 頁,共 13 頁  答案 題 目""]",[],layout text removed; answer unchanged and matches PDF
114-4-L12,pdf,PAST-114-4-L12-39,39,question,A,"[""114 年第四次"", ""第二 科 : 生成式 AI 應用與規劃  考試日期: 114 年 1 1 月 01 日 試題公告日期: 114 年 1 1 月 2 0 日  第 11 頁,共 13 頁  答案 題 目""]",[],layout text removed; answer unchanged and matches PDF
114-4-L12,pdf,PAST-114-4-L12-43,43,A,D,"["" 114 年第四次 第二 科 : 生成式 AI 應用與規劃 考試日期: 114 年 1 1 月 01 日 試題公告日期: 114 年 1 1 月 2 0 日 第 12 頁,共 13 頁 答案 題 目""]",[],layout text removed; answer unchanged and matches PDF
114-4-L12,pdf,PAST-114-4-L12-48,48,question,A,"[""114 年第四次"", ""第二 科 : 生成式 AI 應用與規劃  考試日期: 114 年 1 1 月 01 日 試題公告日期: 114 年 1 1 月 2 0 日  第 13 頁,共 13 頁  答案 題 目""]",[],layout text removed; answer unchanged and matches PDF
115-1-L21,pdf,PAST-115-1-L21-4,4,B,C,"["" 】 第一 科 : 人工智慧技術應用與規劃 考試日期: 11 5 年 0 5 月 23 日 第 2 頁,共 15 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L21,pdf,PAST-115-1-L21-8,8,question,B,"[""  】  第一 科 : 人工智慧技術應用與規劃  考試日期: 11 5 年 0 5 月 23 日  第 3 頁,共 15 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L21,pdf,PAST-115-1-L21-12,12,B,B,"["" 】 第一 科 : 人工智慧技術應用與規劃 考試日期: 11 5 年 0 5 月 23 日 第 4 頁,共 15 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L21,pdf,PAST-115-1-L21-16,16,question,A,"[""】  第一 科 : 人工智慧技術應用與規劃  考試日期: 11 5 年 0 5 月 23 日  第 5 頁,共 15 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L21,pdf,PAST-115-1-L21-17,17,D,D,"[""】 第一 科 : 人工智慧技術應用與規劃 考試日期: 11 5 年 0 5 月 23 日 第 6 頁,共 15 頁 ""]",[],layout text removed; answer unchanged and matches PDF
115-1-L21,pdf,PAST-115-1-L21-20,20,question,A,"[""】  第一 科 : 人工智慧技術應用與規劃  考試日期: 11 5 年 0 5 月 23 日  第 7 頁,共 15 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L21,pdf,PAST-115-1-L21-22,22,question,C,"[""  】  第一 科 : 人工智慧技術應用與規劃  考試日期: 11 5 年 0 5 月 23 日  第 8 頁,共 15 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L21,pdf,PAST-115-1-L21-26,26,question,D,"[""】  第一 科 : 人工智慧技術應用與規劃  考試日期: 11 5 年 0 5 月 23 日  第 9 頁,共 15 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L21,pdf,PAST-115-1-L21-29,29,C,C,"["" 】 第一 科 : 人工智慧技術應用與規劃 考試日期: 11 5 年 0 5 月 23 日 第 10 頁,共 15 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L21,pdf,PAST-115-1-L21-33,33,D,D,"[""】 第一 科 : 人工智慧技術應用與規劃 考試日期: 11 5 年 0 5 月 23 日 第 11 頁,共 15 頁 ""]",[],layout text removed; answer unchanged and matches PDF
115-1-L21,pdf,PAST-115-1-L21-37,37,question,A,"[""】  第一 科 : 人工智慧技術應用與規劃  考試日期: 11 5 年 0 5 月 23 日  第 12 頁,共 15 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L21,pdf,PAST-115-1-L21-41,41,question,A,"[""】  第一 科 : 人工智慧技術應用與規劃  考試日期: 11 5 年 0 5 月 23 日  第 13 頁,共 15 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L21,pdf,PAST-115-1-L21-44,44,B,B,"[""】 第一 科 : 人工智慧技術應用與規劃 考試日期: 11 5 年 0 5 月 23 日 第 14 頁,共 15 頁 ""]",[],layout text removed; answer unchanged and matches PDF
115-1-L21,pdf,PAST-115-1-L21-47,47,D,D,"["" 】 第一 科 : 人工智慧技術應用與規劃 考試日期: 11 5 年 0 5 月 23 日 第 15 頁,共 15 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L22,pdf,PAST-115-1-L22-4,4,C,A,"["" 】 第 二 科 : 大數據處理分析與應用 考試日期: 11 5 年 0 5 月 23 日 第 2 頁,共 17 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L22,pdf,PAST-115-1-L22-8,8,B,D,"["" 】 第 二 科 : 大數據處理分析與應用 考試日期: 11 5 年 0 5 月 23 日 第 3 頁,共 17 頁""]",[],layout text removed; answer unchanged and matches PDF
115-1-L22,pdf,PAST-115-1-L22-12,12,question,C,"[""】  第 二 科 : 大數據處理分析與應用  考試日期: 11 5 年 0 5 月 23 日  第 4 頁,共 17 頁""]",[],layout text removed; answer unchanged and matches PDF
